path,filename,note,pitch_class,octave,pluck_technique,tuning_status,instance_id
intune/A2/A2_f_1.wav,A2_f_1.wav,A2,A,2,finger,intune,1
intune/A2/A2_f_2.wav,A2_f_2.wav,A2,A,2,finger,intune,2
intune/A2/A2_p_1.wav,A2_p_1.wav,A2,A,2,pick,intune,1
intune/A2/A2_p_2.wav,A2_p_2.wav,A2,A,2,pick,intune,2
intune/A3/A3_f_1.wav,A3_f_1.wav,A3,A,3,finger,intune,1
intune/A3/A3_f_2.wav,A3_f_2.wav,A3,A,3,finger,intune,2
intune/A3/A3_f_3.wav,A3_f_3.wav,A3,A,3,finger,intune,3
intune/A3/A3_p_1.wav,A3_p_1.wav,A3,A,3,pick,intune,1
intune/A3/A3_p_2.wav,A3_p_2.wav,A3,A,3,pick,intune,2
intune/A3/A3_p_3.wav,A3_p_3.wav,A3,A,3,pick,intune,3
intune/A4/A4_f_1.wav,A4_f_1.wav,A4,A,4,finger,intune,1
intune/A4/A4_f_2.wav,A4_f_2.wav,A4,A,4,finger,intune,2
intune/A4/A4_f_3.wav,A4_f_3.wav,A4,A,4,finger,intune,3
intune/A4/A4_p_1.wav,A4_p_1.wav,A4,A,4,pick,intune,1
intune/A4/A4_p_2.wav,A4_p_2.wav,A4,A,4,pick,intune,2
intune/A4/A4_p_3.wav,A4_p_3.wav,A4,A,4,pick,intune,3
intune/Asharp2/Asharp2_f_1.wav,Asharp2_f_1.wav,Asharp2,Asharp,2,finger,intune,1
intune/Asharp2/Asharp2_f_2.wav,Asharp2_f_2.wav,Asharp2,Asharp,2,finger,intune,2
intune/Asharp2/Asharp2_f_3.wav,Asharp2_f_3.wav,Asharp2,Asharp,2,finger,intune,3
intune/Asharp2/Asharp2_p_1.wav,Asharp2_p_1.wav,Asharp2,Asharp,2,pick,intune,1
intune/Asharp2/Asharp2_p_2.wav,Asharp2_p_2.wav,Asharp2,Asharp,2,pick,intune,2
intune/Asharp3/Asharp3_f_1.wav,Asharp3_f_1.wav,Asharp3,Asharp,3,finger,intune,1
intune/Asharp3/Asharp3_f_2.wav,Asharp3_f_2.wav,Asharp3,Asharp,3,finger,intune,2
intune/Asharp3/Asharp3_f_3.wav,Asharp3_f_3.wav,Asharp3,Asharp,3,finger,intune,3
intune/Asharp3/Asharp3_p_1.wav,Asharp3_p_1.wav,Asharp3,Asharp,3,pick,intune,1
intune/Asharp3/Asharp3_p_2.wav,Asharp3_p_2.wav,Asharp3,Asharp,3,pick,intune,2
intune/Asharp3/Asharp3_p_3.wav,Asharp3_p_3.wav,Asharp3,Asharp,3,pick,intune,3
intune/Asharp4/Asharp4_f_1.wav,Asharp4_f_1.wav,Asharp4,Asharp,4,finger,intune,1
intune/Asharp4/Asharp4_f_2.wav,Asharp4_f_2.wav,Asharp4,Asharp,4,finger,intune,2
intune/Asharp4/Asharp4_f_3.wav,Asharp4_f_3.wav,Asharp4,Asharp,4,finger,intune,3
intune/Asharp4/Asharp4_p_1.wav,Asharp4_p_1.wav,Asharp4,Asharp,4,pick,intune,1
intune/Asharp4/Asharp4_p_2.wav,Asharp4_p_2.wav,Asharp4,Asharp,4,pick,intune,2
intune/Asharp4/Asharp4_p_3.wav,Asharp4_p_3.wav,Asharp4,Asharp,4,pick,intune,3
intune/B2/B2_f_1.wav,B2_f_1.wav,B2,B,2,finger,intune,1
intune/B2/B2_f_2.wav,B2_f_2.wav,B2,B,2,finger,intune,2
intune/B2/B2_p_1.wav,B2_p_1.wav,B2,B,2,pick,intune,1
intune/B2/B2_p_2.wav,B2_p_2.wav,B2,B,2,pick,intune,2
intune/B3/B3_f_1.wav,B3_f_1.wav,B3,B,3,finger,intune,1
intune/B3/B3_f_2.wav,B3_f_2.wav,B3,B,3,finger,intune,2
intune/B3/B3_f_3.wav,B3_f_3.wav,B3,B,3,finger,intune,3
intune/B3/B3_f_4.wav,B3_f_4.wav,B3,B,3,finger,intune,4
intune/B3/B3_p_1.wav,B3_p_1.wav,B3,B,3,pick,intune,1
intune/B3/B3_p_2.wav,B3_p_2.wav,B3,B,3,pick,intune,2
intune/B3/B3_p_3.wav,B3_p_3.wav,B3,B,3,pick,intune,3
intune/B3/B3_p_4.wav,B3_p_4.wav,B3,B,3,pick,intune,4
intune/B4/B4_f_1.wav,B4_f_1.wav,B4,B,4,finger,intune,1
intune/B4/B4_f_2.wav,B4_f_2.wav,B4,B,4,finger,intune,2
intune/B4/B4_f_3.wav,B4_f_3.wav,B4,B,4,finger,intune,3
intune/B4/B4_p_1.wav,B4_p_1.wav,B4,B,4,pick,intune,1
intune/B4/B4_p_2.wav,B4_p_2.wav,B4,B,4,pick,intune,2
intune/B4/B4_p_3.wav,B4_p_3.wav,B4,B,4,pick,intune,3
intune/C3/C3_f_1.wav,C3_f_1.wav,C3,C,3,finger,intune,1
intune/C3/C3_f_2.wav,C3_f_2.wav,C3,C,3,finger,intune,2
intune/C3/C3_p_1.wav,C3_p_1.wav,C3,C,3,pick,intune,1
intune/C3/C3_p_2.wav,C3_p_2.wav,C3,C,3,pick,intune,2
intune/C4/C4_f_1.wav,C4_f_1.wav,C4,C,4,finger,intune,1
intune/C4/C4_f_2.wav,C4_f_2.wav,C4,C,4,finger,intune,2
intune/C4/C4_f_3.wav,C4_f_3.wav,C4,C,4,finger,intune,3
intune/C4/C4_f_4.wav,C4_f_4.wav,C4,C,4,finger,intune,4
intune/C4/C4_p_1.wav,C4_p_1.wav,C4,C,4,pick,intune,1
intune/C4/C4_p_2.wav,C4_p_2.wav,C4,C,4,pick,intune,2
intune/C4/C4_p_3.wav,C4_p_3.wav,C4,C,4,pick,intune,3
intune/C4/C4_p_4.wav,C4_p_4.wav,C4,C,4,pick,intune,4
intune/C5/C5_f_1.wav,C5_f_1.wav,C5,C,5,finger,intune,1
intune/C5/C5_f_2.wav,C5_f_2.wav,C5,C,5,finger,intune,2
intune/C5/C5_p_1.wav,C5_p_1.wav,C5,C,5,pick,intune,1
intune/C5/C5_p_2.wav,C5_p_2.wav,C5,C,5,pick,intune,2
intune/Csharp3/Csharp3_f_1.wav,Csharp3_f_1.wav,Csharp3,Csharp,3,finger,intune,1
intune/Csharp3/Csharp3_f_2.wav,Csharp3_f_2.wav,Csharp3,Csharp,3,finger,intune,2
intune/Csharp3/Csharp3_p_1.wav,Csharp3_p_1.wav,Csharp3,Csharp,3,pick,intune,1
intune/Csharp3/Csharp3_p_2.wav,Csharp3_p_2.wav,Csharp3,Csharp,3,pick,intune,2
intune/Csharp4/Csharp4_f_1.wav,Csharp4_f_1.wav,Csharp4,Csharp,4,finger,intune,1
intune/Csharp4/Csharp4_f_2.wav,Csharp4_f_2.wav,Csharp4,Csharp,4,finger,intune,2
intune/Csharp4/Csharp4_f_3.wav,Csharp4_f_3.wav,Csharp4,Csharp,4,finger,intune,3
intune/Csharp4/Csharp4_f_4.wav,Csharp4_f_4.wav,Csharp4,Csharp,4,finger,intune,4
intune/Csharp4/Csharp4_p_1.wav,Csharp4_p_1.wav,Csharp4,Csharp,4,pick,intune,1
intune/Csharp4/Csharp4_p_2.wav,Csharp4_p_2.wav,Csharp4,Csharp,4,pick,intune,2
intune/Csharp4/Csharp4_p_3.wav,Csharp4_p_3.wav,Csharp4,Csharp,4,pick,intune,3
intune/Csharp4/Csharp4_p_4.wav,Csharp4_p_4.wav,Csharp4,Csharp,4,pick,intune,4
